,US 1,US 2,US 3,US 4,US 5
1,0.024973207,0.027918535,0.059239517,0.077668863,0.033183212
2,0.023519355,0.026325293,0.062828043,0.072116943,0.027722717
3,0.025531796,0.026357338,0.061168061,0.081714758,0.021717684
4,0.025695424,0.027616858,0.064658099,0.084311164,0.024626587
5,0.024601435,0.028216452,0.058446296,0.083220168,0.026918135
6,0.024711153,0.026548725,0.061735397,0.079145069,0.032259
7,0.023825301,0.025492848,0.058808098,0.083254949,0.03203952
8,0.023932507,0.025136491,0.060741911,0.076131778,0.031950588
9,0.024358191,0.026418621,0.062293542,0.076568539,0.028164798
10,0.024253491,0.024940389,0.061558107,0.080880975,0.023331545
11,0.024772593,0.026257418,0.060724837,0.082139724,0.025029146
12,0.0240767,0.029190305,0.05867547,0.079614774,0.026894725
13,0.023890494,0.027427357,0.05894862,0.078056558,0.034171919
14,0.023960725,0.025142144,0.056326665,0.083702293,0.030104764
15,0.024931827,0.026613772,0.064239158,0.081250028,0.03196723
16,0.024833402,0.026631684,0.059484445,0.078419392,0.027840777
17,0.025219589,0.026910734,0.059704413,0.079251932,0.023801191
18,0.024827135,0.027608369,0.064202397,0.08534997,0.022980475
19,0.025071006,0.028619949,0.0590202,0.081761355,0.028347876
20,0.02423531,0.026792884,0.059902065,0.079332708,0.032450394
21,0.024248475,0.026594914,0.054771743,0.078478418,0.030986842
22,0.025487923,0.02649875,0.059549457,0.074902219,0.031219327
23,0.024585143,0.027267096,0.061753784,0.079650181,0.026880684
24,0.025719874,0.026255518,0.064501822,0.08283993,0.022078112
25,0.024893582,0.028226814,0.061362427,0.084531728,0.027398697
26,0.024081714,0.027683793,0.058618995,0.0808437,0.031449731
27,0.023318121,0.026422397,0.056165782,0.078134836,0.033063588
28,0.023904296,0.026862656,0.055162444,0.076383402,0.031410724
29,0.025672859,0.027592356,0.060437877,0.0759137,0.028415484
30,0.024914899,0.026943739,0.065187354,0.080769767,0.024749328
31,0.024162591,0.025967051,0.068610408,0.08433664,0.024689516
32,0.024798296,0.02782992,0.059916517,0.081366211,0.029199796
33,0.024388282,0.026836266,0.05687298,0.080317463,0.030144291
34,0.024640934,0.026260234,0.0589762,0.078616964,0.031761788
35,0.025047179,0.026774038,0.061534471,0.076551153,0.033376683
36,0.024322453,0.026024546,0.060552791,0.075862751,0.031341035
37,0.024437183,0.026186709,0.064016566,0.080244141,0.022716784
38,0.024906128,0.026849457,0.066098101,0.084187528,0.020267647
39,0.024462887,0.029660741,0.058761489,0.080218051,0.028352034
40,0.023805245,0.027069124,0.057007592,0.079811096,0.031481979
41,0.025497317,0.026355453,0.060049811,0.079517843,0.030779848
42,0.024207107,0.026094318,0.06072812,0.080369027,0.033298151
43,0.025012704,0.027899675,0.062854971,0.077032032,0.028175716
44,0.024775731,0.027426423,0.060271751,0.080902718,0.025777041
45,0.024329348,0.026939963,0.061162157,0.082775934,0.026762102
46,0.023997078,0.02672596,0.05872274,0.08007888,0.027630665
47,0.0249475,0.026756126,0.059197493,0.078921399,0.032414509
48,0.023667322,0.025908594,0.059491006,0.078713885,0.032665194
49,0.023793328,0.027107767,0.061966536,0.075105388,0.03368979
50,0.024533727,0.026198966,0.059616422,0.076173398,0.025874297
51,0.023452908,0.026088672,0.062957409,0.081517183,0.021480521
52,0.024892336,0.026950337,0.063417709,0.080611331,0.024193862
53,0.024951889,0.030756215,0.057117255,0.08050261,0.029488448
54,0.024420878,0.026427099,0.058338608,0.076911504,0.033615412
55,0.023819656,0.026225361,0.058479787,0.081360621,0.030348687
56,0.024397056,0.026039645,0.063670519,0.07561423,0.030225426
57,0.024371981,0.026009471,0.062027601,0.077458869,0.026158269
58,0.023740664,0.024992246,0.063132072,0.080966097,0.024444547
59,0.024432167,0.027364192,0.060310504,0.08345191,0.027262957
60,0.024316188,0.027770526,0.057701665,0.081127625,0.028919981
61,0.023940659,0.026579827,0.058747029,0.077281804,0.030934841
62,0.025438389,0.026727851,0.060158808,0.079947165,0.028612086
63,0.023707437,0.025241124,0.065423079,0.077161264,0.031934976
64,0.024160711,0.025510748,0.063017156,0.078791553,0.024018593
65,0.024141902,0.026723121,0.063100547,0.07966758,0.026292454
66,0.024467275,0.026955996,0.057499427,0.082195017,0.025976753
67,0.023909933,0.027945879,0.058942055,0.077979512,0.030296679
68,0.024696111,0.027117204,0.059952619,0.079670061,0.029934174
69,0.024589523,0.025847325,0.061306612,0.081341358,0.033454181
70,0.024304906,0.025355204,0.060847619,0.075229649,0.032637629
71,0.02344162,0.026725969,0.058854069,0.077306028,0.025459781
72,0.024691091,0.025875597,0.065576075,0.083523978,0.022640331
73,0.023880469,0.026705215,0.06165332,0.080377105,0.026902005
74,0.02387984,0.028605799,0.058203332,0.079765749,0.029186268
75,0.023743175,0.025308066,0.057981395,0.081599819,0.031082546
76,0.024701114,0.025387252,0.057696419,0.077053781,0.029963807
77,0.024933085,0.029475014,0.064111122,0.081601057,0.031757108
78,0.025171318,0.026550604,0.062954124,0.077591821,0.029276766
79,0.024872268,0.027105882,0.065060617,0.082467771,0.023166672
80,0.024901738,0.024905514,0.065901113,0.07964211,0.027027871
81,0.024696104,0.027984528,0.059487071,0.080557901,0.026375149
82,0.024406469,0.026197081,0.061420211,0.080913906,0.031527738
83,0.023785179,0.025562614,0.060607956,0.07652195,0.033503588
84,0.024272926,0.02504598,0.058993928,0.074469174,0.030312804
85,0.024205213,0.024961138,0.060060972,0.077291112,0.027777329
86,0.023299315,0.025346724,0.06194355,0.082665341,0.026391269
87,0.023514344,0.026623201,0.058644599,0.079786874,0.029266886
88,0.024450977,0.027317059,0.057132357,0.07569749,0.031352469
89,0.024039089,0.026893758,0.059200113,0.080564728,0.029888922
90,0.024718675,0.025769067,0.067773849,0.079943438,0.033579008
91,0.025260338,0.026638282,0.062879258,0.077938503,0.026700208
92,0.024847822,0.027970378,0.061103049,0.079538352,0.026134868
93,0.024417748,0.026512906,0.065755345,0.082896464,0.024894953
94,0.024550028,0.026497816,0.060952683,0.082636142,0.030281073
95,0.024255377,0.026904142,0.05787042,0.080059002,0.029479605
96,0.024628401,0.026007586,0.060427375,0.076789101,0.033002223
97,0.023449145,0.024591585,0.059018882,0.075633491,0.034165148
98,0.023509958,0.026160314,0.062040729,0.07199144,0.025510229
99,0.026099797,0.027855373,0.064810435,0.079457584,0.023946298
100,0.025502963,0.027828975,0.065209674,0.082646704,0.027490235
101,0.024751275,0.027028575,0.059500197,0.082597001,0.029695968
102,0.024074823,0.026267787,0.064080911,0.079461936,0.031614083
103,0.02394881,0.025615393,0.060201486,0.07683135,0.034173996
104,0.02363283,0.026631696,0.061558105,0.070397809,0.028550721
105,0.025575679,0.02614994,0.060747155,0.075638458,0.022880099
106,0.024735607,0.026334716,0.066653627,0.086056386,0.024916796
107,0.024143154,0.026228195,0.061624431,0.082354691,0.02619884
108,0.02460708,0.027266162,0.057155344,0.07883628,0.030984247
109,0.023988926,0.026574177,0.057580194,0.079136368,0.031868929
110,0.024793899,0.025969868,0.059975608,0.07606778,0.033735031
111,0.024014637,0.027768641,0.061201556,0.07625106,0.02754641
112,0.024686071,0.026136744,0.060407017,0.078771046,0.024281759
113,0.024690464,0.026815515,0.062284348,0.080473404,0.025575244
114,0.026669046,0.028437046,0.056107998,0.078787818,0.028234495
115,0.02409551,0.026742936,0.058907906,0.083177918,0.026757942
116,0.02547349,0.027627238,0.064872166,0.080816358,0.030349203
117,0.024457242,0.026024555,0.063294262,0.081530855,0.0326964
118,0.024778236,0.026714643,0.061306614,0.080770382,0.02756097
119,0.024349412,0.02712192,0.060227757,0.081390438,0.025811885
120,0.02446665,0.027534841,0.059206687,0.083546971,0.027337324
121,0.02437136,0.029296838,0.060254022,0.079591163,0.028514307
122,0.024522444,0.026394111,0.05881598,0.081596093,0.02956282
123,0.023617792,0.025838836,0.06065589,0.081547004,0.030607696
124,0.024934967,0.026988049,0.059451609,0.078766076,0.03538165
125,0.023083649,0.025890684,0.059196172,0.080436129,0.0285918
126,0.023938146,0.027073828,0.061543658,0.076416955,0.024246913
127,0.024859109,0.027615912,0.057722021,0.082939339,0.021582977
128,0.026371888,0.03292453,0.057387786,0.081140053,0.02516385
129,0.025221471,0.030505449,0.059032021,0.081130119,0.02777837
130,0.024717421,0.027911001,0.060242859,0.086716823,0.027085081
131,0.024735601,0.027617806,0.059896809,0.084603795,0.028982914
132,0.024607705,0.031741392,0.059548784,0.080935028,0.033006373
133,0.024050368,0.033712679,0.057750258,0.082249693,0.027090284
134,0.024052246,0.027446217,0.058119939,0.083839597,0.024373815
135,0.024063536,0.030239581,0.056069263,0.083117651,0.025353685
136,0.024242205,0.035311571,0.059076669,0.081837776,0.028404046
137,0.026285372,0.029962408,0.054977272,0.08356187,0.030657105
138,0.027239554,0.03112672,0.059738566,0.080703909,0.029609109
139,0.024632153,0.025078028,0.060083296,0.085407759,0.034806436
140,0.02383345,0.025946306,0.059315684,0.079702998,0.030367413
141,0.024560688,0.026440307,0.057571655,0.081514083,0.028592843
142,0.024652224,0.027630999,0.055785584,0.079465656,0.030286791
143,0.025817675,0.027174708,0.059064193,0.080811386,0.030862017
144,0.024547521,0.028040144,0.058514591,0.0832972,0.030752797
145,0.02454063,0.025822812,0.061192355,0.081422128,0.032082161
146,0.025110507,0.026278146,0.057155346,0.082592035,0.031406044
147,0.023810885,0.027305757,0.05653548,0.081361238,0.031398239
148,0.023398363,0.026694852,0.05757822,0.081719108,0.030488072
149,0.025068503,0.026791941,0.055645068,0.080077638,0.028349436
150,0.024936846,0.027762982,0.057087051,0.083479244,0.030522398
151,0.024769451,0.026904139,0.058613072,0.083399103,0.027734686
152,0.026181926,0.029340197,0.060665077,0.082307477,0.031259373
153,0.024658496,0.026541181,0.057833648,0.083942112,0.029395348
154,0.024371975,0.026459161,0.06037353,0.0826144,0.029259605
155,0.024365088,0.026676931,0.058259155,0.081530853,0.032698486
156,0.023847871,0.025605973,0.056459958,0.0805722,0.031698854
157,0.024451604,0.026916392,0.059338014,0.08223665,0.029988777
158,0.024201456,0.025448538,0.05685591,0.083596053,0.031355592
159,0.024329982,0.025732309,0.057683935,0.082273295,0.026872878
160,0.024090494,0.026553429,0.057813296,0.084196217,0.029917006
161,0.023825924,0.025064837,0.05804049,0.081453191,0.030441264
162,0.025000795,0.026613772,0.059406298,0.08368365,0.02992013
163,0.024322457,0.025491908,0.057891437,0.082564074,0.029453076
164,0.024265405,0.027507497,0.058998526,0.081200948,0.030587413
165,0.025715494,0.028056177,0.058355019,0.080764791,0.027347207
166,0.024633406,0.026166912,0.061896286,0.085503434,0.029026602
167,0.024770085,0.025787925,0.064217495,0.083622143,0.027657186
168,0.025246544,0.026675052,0.062408456,0.085042429,0.02595959
169,0.024427154,0.027222789,0.057610388,0.084747313,0.030787656
170,0.023965741,0.025341999,0.060487129,0.0817421,0.029486366
171,0.02439142,0.026965424,0.057340514,0.081000889,0.026827635
172,0.024785125,0.027585746,0.056859856,0.079706725,0.029814024
173,0.024010872,0.026726915,0.05710084,0.081693635,0.027401296
174,0.025331182,0.02712851,0.05665104,0.080365304,0.026412078
175,0.024503001,0.027750731,0.061222559,0.083402819,0.029363102
176,0.024804558,0.026232899,0.061956038,0.086279431,0.028967313
177,0.024802682,0.027295383,0.06310383,0.086411769,0.028254259
178,0.024215884,0.026513846,0.0594805,0.084788942,0.029427076
179,0.02382154,0.025427786,0.05702598,0.081043757,0.028072227
180,0.024886691,0.027397194,0.05811338,0.083199035,0.025793161
181,0.025201405,0.027046496,0.05815869,0.084017294,0.026025127
182,0.024778855,0.025152504,0.058300526,0.083398478,0.026185317
183,0.023632838,0.026292294,0.058473214,0.082992148,0.027533931
184,0.024687951,0.027664938,0.054589852,0.082613154,0.026979505
185,0.026934863,0.029312862,0.057486282,0.083737088,0.026502053
186,0.024019652,0.026441258,0.060447725,0.084165156,0.029215919
187,0.024299257,0.026484605,0.059127231,0.081552601,0.029024519
188,0.025391998,0.025978371,0.056976083,0.081807953,0.027936483
189,0.024377628,0.02770359,0.057302425,0.08518346,0.029614312
190,0.025433999,0.026620373,0.058794971,0.083774976,0.029803106
191,0.023980777,0.026674112,0.057783096,0.085466149,0.031981271
192,0.023619665,0.026880562,0.05658013,0.083902966,0.031454933
193,0.024748139,0.026864538,0.056651697,0.084163294,0.030607694
194,0.025126808,0.027689446,0.054840036,0.084026613,0.029927929
195,0.027419476,0.02780258,0.058345176,0.083404069,0.030347647
196,0.025635873,0.026827771,0.058516557,0.089246744,0.032127934
197,0.025420834,0.025971753,0.060168664,0.084325459,0.028701542
198,0.025077901,0.025077088,0.05775814,0.087873062,0.027585413
199,0.027181247,0.027008775,0.057534221,0.084545386,0.028790999
200,0.026327378,0.028364452,0.058819927,0.088309834,0.03208425
201,0.026515447,0.028573751,0.058930242,0.087610253,0.029286128
202,0.027275287,0.028095777,0.058391791,0.088083064,0.031400326
203,0.027260872,0.028926328,0.056939305,0.085261124,0.031334277
204,0.027266517,0.027727167,0.057500736,0.089599025,0.027758086
205,0.027771192,0.028127825,0.05998546,0.087796644,0.03036741
206,0.028202516,0.029931308,0.058563178,0.089681034,0.031530863
207,0.026414512,0.029971836,0.057567704,0.090923639,0.030982687
208,0.026853996,0.028827351,0.05734249,0.08588988,0.030400177
209,0.028073995,0.032345687,0.056777776,0.086723042,0.032792621
210,0.026860885,0.031223812,0.058164589,0.086619281,0.029577904
211,0.028828815,0.033458125,0.055882124,0.088995126,0.028179878
212,0.028233857,0.033890843,0.056936679,0.089426304,0.031554267
213,0.027634513,0.033148901,0.057491543,0.088678266,0.03547839
214,0.027836385,0.034493273,0.057858606,0.088742879,0.030841219
215,0.027252721,0.037893757,0.058840271,0.089187733,0.033845292
216,0.027808803,0.038494282,0.058452868,0.087664929,0.031267697
217,0.028190608,0.039134416,0.057399609,0.089344919,0.033401655
218,0.027249585,0.039562427,0.058387195,0.088648442,0.033549882
219,0.026381284,0.042178549,0.05947393,0.091720757,0.032497729
220,0.029003103,0.04311282,0.059978892,0.092480603,0.033248745
221,0.028115377,0.039674627,0.058617673,0.09114854,0.035501277
222,0.029940988,0.036833171,0.058777904,0.089655563,0.031179803
223,0.02760004,0.039410638,0.059134449,0.091312567,0.032984015
224,0.028165524,0.039504917,0.060355143,0.088306099,0.03605466
225,0.02814734,0.045218923,0.058763458,0.090178075,0.035145535
226,0.028805607,0.041718493,0.061311214,0.088962194,0.032104532
227,0.027781217,0.039556759,0.060479261,0.08794327,0.034347712
228,0.028205027,0.045971225,0.059453582,0.089898486,0.035628184
229,0.028702797,0.045855272,0.062192419,0.090127133,0.033587848
230,0.028156752,0.045579062,0.060955974,0.090311665,0.031092945
231,0.028028232,0.04475414,0.060321661,0.089618288,0.032862831
232,0.027553644,0.046059852,0.060207401,0.090265678,0.036147759
233,0.027894689,0.047704005,0.065220839,0.091999095,0.030966562
234,0.027550504,0.047644611,0.06084828,0.092654564,0.029592466
235,0.029411231,0.04579305,0.063176068,0.090697477,0.032471203
236,0.028260189,0.049685658,0.058337293,0.092145103,0.036298586
237,0.028272729,0.05134866,0.063468928,0.091683485,0.032722407
238,0.027862094,0.054500269,0.061782673,0.094922927,0.034617639
239,0.028159262,0.050540734,0.065509764,0.093237972,0.033885341
240,0.028313478,0.051621109,0.062260053,0.095647358,0.034103781
241,0.027867739,0.049614955,0.064041516,0.094219001,0.031965142
242,0.028174932,0.052417745,0.063228598,0.094540825,0.034838153
243,0.027490326,0.0542495,0.063476806,0.094431477,0.034131342
244,0.028435734,0.05619911,0.068309007,0.09611644,0.033638813
245,0.028774272,0.05099231,0.065352827,0.097472111,0.029935206
246,0.028623184,0.048553417,0.064130163,0.097783377,0.032794696
247,0.029182402,0.046421867,0.063124847,0.094780029,0.032960085
248,0.027868368,0.055569356,0.062582463,0.093398256,0.034441845
249,0.027823847,0.055525983,0.069402972,0.096899268,0.032025997
250,0.028058946,0.05480101,0.06461148,0.09577224,0.036998117
251,0.028482748,0.054514416,0.068055546,0.09596422,0.036180005
252,0.028840722,0.050289011,0.063964032,0.095236058,0.033315836
253,0.028110983,0.04877874,0.065178151,0.094503548,0.03306567
254,0.028567391,0.051924687,0.064884632,0.096942759,0.032842028
255,0.0290683,0.052049135,0.063669859,0.095170206,0.033422453
256,0.029520318,0.053769646,0.062960035,0.095045317,0.031559474
257,0.028279624,0.049700739,0.06363374,0.097144693,0.036228376
258,0.029314679,0.051858688,0.062768291,0.094199735,0.033805243
259,0.027954246,0.052886299,0.066428401,0.094665709,0.032451952
260,0.027353027,0.056184965,0.066228119,0.096747052,0.032505527
261,0.029324716,0.05334069,0.069036571,0.098365528,0.034375791
262,0.027536077,0.053785676,0.065553101,0.09766968,0.032162779
263,0.027548625,0.056535664,0.066582054,0.099312398,0.034095981
264,0.029399944,0.054646408,0.065702148,0.098065448,0.035707761
265,0.026040242,0.051898288,0.061726204,0.094164323,0.036893571
266,0.028448271,0.059512867,0.07082,0.095586474,0.033234182
267,0.030713362,0.050536964,0.063381594,0.100563058,0.034143823
268,0.029244468,0.045504565,0.060871266,0.090998191,0.033759999
269,0.028386204,0.052462052,0.063959438,0.089776714,0.036695942
270,0.028142955,0.059279064,0.063523423,0.091725115,0.036070784
271,0.028756713,0.048064126,0.067127714,0.09362689,0.034540139
272,0.02730099,0.051752167,0.062960685,0.093001257,0.031783115
273,0.027363057,0.05737,0.068131721,0.09266824,0.03211233
274,0.029136642,0.052782585,0.068307042,0.099632976,0.031471576
275,0.0283536,0.051379783,0.062623832,0.095013634,0.035207426
276,0.028345449,0.052715649,0.06814813,0.093682816,0.032549738
277,0.02881565,0.05649796,0.065645685,0.09411213,0.030658664
278,0.028431349,0.050913115,0.066167054,0.096291644,0.034296732
279,0.02808717,0.056550742,0.069202037,0.09342684,0.033222219
280,0.028373041,0.062048852,0.067082412,0.094691803,0.035087803
281,0.028357998,0.0538526,0.067554532,0.095945578,0.033682501
282,0.027934813,0.054625656,0.066567602,0.09404502,0.034980146
283,0.028087781,0.0623345,0.066400819,0.095409402,0.03326642
284,0.028405636,0.056900512,0.073344119,0.095609458,0.031395638
285,0.027705357,0.056040732,0.066368647,0.094747098,0.034380473
286,0.028368025,0.061401186,0.068722036,0.094120827,0.036317834
287,0.028778654,0.070119716,0.07364092,0.0952255,0.034008608
288,0.028603114,0.06530416,0.072139843,0.098299051,0.03252061
289,0.028032615,0.062754973,0.075976574,0.097157111,0.033717866
290,0.027984343,0.065074127,0.067639233,0.097377669,0.031621883
291,0.027432022,0.062715375,0.075141991,0.098433251,0.031093983
292,0.027597527,0.070069753,0.073891757,0.099580171,0.033735028
293,0.028220697,0.071205755,0.075820301,0.100292799,0.034740903
294,0.030056972,0.071885481,0.075579969,0.103140199,0.034977028
295,0.028952321,0.072370044,0.077228788,0.099658456,0.033664301
296,0.02871095,0.082344291,0.076028452,0.101739181,0.031136107
297,0.029089611,0.071823253,0.07612892,0.100057322,0.030931717
298,0.028231978,0.071004001,0.07692936,0.102038646,0.031889733
299,0.027628249,0.074100942,0.078203894,0.101739173,0.034930217
300,0.027262122,0.070596744,0.080133103,0.101643497,0.032555981
301,0.02915231,0.073662557,0.07719924,0.098970671,0.033712667
302,0.028696537,0.069203366,0.077434314,0.100686078,0.034416359
303,0.028599986,0.068524589,0.077526906,0.098848286,0.032646472
304,0.028309721,0.071648842,0.073241679,0.10012318,0.032038483
305,0.027657709,0.075951551,0.080141634,0.098214562,0.03552572
306,0.028173052,0.07510591,0.079027328,0.101192437,0.03306567
307,0.028003776,0.074185775,0.084059791,0.10144965,0.031077863
308,0.029015008,0.074057562,0.080480463,0.101826776,0.03080845
309,0.028768,0.069881197,0.080956527,0.102990472,0.03452194
310,0.028209411,0.074739176,0.078358205,0.097688933,0.034340947
311,0.027643915,0.074648661,0.081427984,0.100187176,0.034732577
312,0.02896674,0.074638293,0.083696016,0.100712795,0.033131201
313,0.027465872,0.070843743,0.079276185,0.099438515,0.031898578
314,0.027990609,0.07322135,0.082816775,0.099076302,0.034805912
315,0.029143531,0.075451898,0.079551319,0.101621757,0.034312344
316,0.027909746,0.074050022,0.080805494,0.10076871,0.033383451
317,0.028164266,0.077782355,0.084431455,0.101270724,0.031883492
318,0.027813816,0.075562193,0.078461306,0.098901712,0.03114235
319,0.027435154,0.076301301,0.086055972,0.100362376,0.031992708
320,0.029370478,0.078012387,0.082496991,0.101171307,0.035012385
321,0.028718472,0.07260668,0.085004697,0.101739172,0.032941367
322,0.029720936,0.075653647,0.081229019,0.100738889,0.032535173
323,0.028591204,0.071339638,0.082964525,0.100927765,0.031605753
324,0.028326022,0.076819815,0.084560812,0.101344028,0.03246028
325,0.027757396,0.077021567,0.08263226,0.10102717,0.031096061
326,0.02770912,0.074986193,0.083026907,0.101913764,0.03093276
327,0.027134228,0.077918123,0.083912049,0.099811293,0.03474974
328,0.027987479,0.075647986,0.082542962,0.099244667,0.034622316
329,0.027989359,0.078479995,0.084057165,0.10217098,0.034604114
330,0.029225656,0.076170264,0.086302211,0.102068457,0.033746996
331,0.029220639,0.077125278,0.085964038,0.103601823,0.031225571
332,0.027479037,0.079246445,0.08236501,0.100247444,0.033793285
333,0.028298432,0.078719445,0.08483069,0.101091784,0.033887939
334,0.02795927,0.07472221,0.081601994,0.100904156,0.034301413
335,0.028496549,0.076412562,0.084646831,0.100746968,0.035878354
336,0.02871597,0.076220233,0.081462142,0.099131594,0.03487196
337,0.027632636,0.075572564,0.086399397,0.101250212,0.031079938
338,0.028079006,0.077280816,0.080520513,0.098867537,0.035307287
339,0.028077754,0.075534855,0.083633639,0.100579834,0.029271566
340,0.028082144,0.074667531,0.085026358,0.102215702,0.03408246
341,0.029403703,0.078243368,0.084197031,0.098947693,0.030685706
342,0.029000597,0.078926858,0.085036216,0.098710355,0.027772126
343,0.027825727,0.076589791,0.08383785,0.100015072,0.033541562
344,0.028551078,0.077991647,0.083350624,0.101706245,0.033818763
345,0.028991814,0.075369867,0.086082898,0.098993046,0.03581646
346,0.028251417,0.077846474,0.079920344,0.098945824,0.03182056
347,0.027885288,0.07517661,0.084665862,0.100387231,0.033234178
348,0.0278483,0.07870249,0.084623192,0.100191526,0.03588511
349,0.027529196,0.075332163,0.083228493,0.101125964,0.032033281
350,0.027361801,0.075677209,0.084409777,0.101211696,0.03261527
351,0.028497791,0.077032887,0.082618475,0.098932777,0.035129408
352,0.028823796,0.075441518,0.086069109,0.099493808,0.033323119
353,0.028253923,0.076986679,0.082952698,0.102984252,0.032903402
354,0.02870531,0.07608825,0.085244369,0.099107358,0.032283446
355,0.02784328,0.076863183,0.084218698,0.099017272,0.033168649
356,0.028668943,0.076079767,0.085304127,0.101161368,0.034920332
357,0.027602545,0.077901144,0.084745324,0.100414569,0.036649128
358,0.027544238,0.073319396,0.085675772,0.103045763,0.034956743
359,0.028378058,0.077699398,0.082321015,0.099673362,0.034437165
360,0.027741722,0.07724688,0.084143841,0.103037069,0.03189961
361,0.027962406,0.076989519,0.084504341,0.101897603,0.03296893
362,0.028070865,0.077383573,0.086151843,0.100679249,0.035126808
363,0.029381134,0.073226071,0.087182759,0.103465756,0.036782796
364,0.027498478,0.076259827,0.084254167,0.103867117,0.034323778
365,0.028794332,0.07732513,0.088387693,0.101219762,0.031531908
366,0.027911618,0.078644032,0.082714996,0.102420115,0.034194797
367,0.028533524,0.078860862,0.087479569,0.100865008,0.033768837
368,0.027797514,0.077642843,0.084538488,0.10154844,0.033555077
369,0.028533533,0.077431663,0.08689121,0.10098616,0.034432487
370,0.028596857,0.07766452,0.082053106,0.101127197,0.032003117
371,0.027764922,0.07575734,0.085381607,0.101813108,0.033909265
